"domaine_professionnel","grand_domaine","rome","type_structure","id_structure","nombre_de_fiches_de_poste_en_tension","id","id_asp","structure_id_siae","adresse_ligne_1","adresse_ligne_2","ville","code_commune","code_postal","longitude","latitude","département","région"
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,9659,1,9659,577,577,"223 Avenue du Général Leclerc","",NANCY,"54395","54000",6.170046,48.669673,"54",Grand Est
"K12- Action sociale, socio-éducative et socio-culturelle",K- Services à la personne et à la collectivité,K1204-Médiateur social / Médiatrice sociale,ACI,2335,1,2335,2372,2372,Rue Maurice Allais,"",CARVIN,"62215","62220",2.974447,50.474091,"62",Hauts-de-France
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,7885,1,7885,1545,1545,"15 Avenue Legoulz de la Boulaye - Baugé",BP 80079,BAUGE EN ANJOU,"49171","49150",-0.098041,47.537981,"49",Pays de la Loire
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2201-Blanchisseur industriel / Blanchisseuse industrielle,AI,9479,1,9479,539,539,"31 Faubourg Paluet","",ST POURCAIN SUR SIOULE,"03254","03500",3.296909,46.305831,"03",Auvergne-Rhône-Alpes
H21- Alimentaire,H- Industrie,H2102-Conducteur / Conductrice de ligne en industrie alimentaire,ETTI,11806,1,11806,2706,2706,"21 route de nanfray","",ANNECY,"74010","74960",6.088014,45.89385,"74",Auvergne-Rhône-Alpes
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1608-Carreleur / Carreleuse,ETTI,11047,1,11047,6249,6249,"12 rue Barbès","",BOURGES,"18033","18000",2.389586,47.078208,"18",Centre-Val de Loire
"I13- Equipements de production, équipements collectifs",I- Installation et Maintenance,I1309-Électricien / Électricienne de maintenance,AI,3822,1,3822,1042,1042,"7 Rue Jlb Cocquerel","",HUCQUELIERS,"62463","62650",1.911167,50.5672,"62",Hauts-de-France
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1306-Auxiliaire de Vie Sociale (AVS),AI,4005,2,4005,1544,1544,"7 Chemin du Marais (Siège)","",MAISSE,"91629","91720",2.391353,48.39341,"91",Île-de-France
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1701-Coffreur / Coffreuse,ETTI,2044,1,2044,2073,2073,"51 ROUTE DE TORIGNI",Caumont-l'Eventé,CAUMONT SUR AURE,"14143","14240",-0.817064,49.087752,"14",Normandie
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1619-Couvreur / Couvreuse,ETTI,12178,2,12178,7167,7167,"2 Rue du General Raymond Chomel",MARLIERE,FOURMIES,"59249","59610",4.031979,50.020495,"59",Hauts-de-France
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1614-Poseur / Poseuse en fermetures de bâtiment,ETTI,4193,1,4193,4816,4816,"5-7 avenue du dauphiné",Centre commercial des fauvettes -esplanade de pontoise,NEUILLY SUR MARNE,"93050","93330",2.533595,48.870311,"93",Île-de-France
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1611-Façadier / Façadière,ETTI,3828,1,3828,3358,3358,"2 Rue du Cygne","",DESVRES,"62268","62240",1.835443,50.668391,"62",Hauts-de-France
H33- Préparation et conditionnement,H- Industrie,H3302-Agent / Agente de conditionnement,AI,4,1,4,1042,1042,"7 Rue Jlb Cocquerel","",HUCQUELIERS,"62463","62650",1.911167,50.5672,"62",Hauts-de-France
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1703-Maçon / Maçonne,ETTI,2702,1,2702,2756,2756,Pôle Suartello 2 - Route de Mezzavia,"",AJACCIO,"2A004","20090",8.770507,41.950013,"2A",Corse
F13- Engins de chantier,"F- Construction, Bâtiment et Travaux publics",F1302-Conducteur / Conductrice d'engins de chantier,ETTI,3828,2,3828,3358,3358,"2 Rue du Cygne","",DESVRES,"62268","62240",1.835443,50.668391,"62",Hauts-de-France
K23- Propreté et environnement urbain,K- Services à la personne et à la collectivité,K2304-Agent / Agente de tri des déchets,ACI,4925,1,4925,3205,3205,"168 Rue Arago","",LILLE,"59360","59120",3.0114849999999995,50.61929599999996,"59",Hauts-de-France
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1303-Garde d'enfant à domicile,AI,5732,2,5732,802,802,"7 Rue Sébastopol","7-9",BRIOUDE,"43040","43100",3.386799,45.292091,"43",Auvergne-Rhône-Alpes
"H29- Mécanique, travail des métaux et outillage",H- Industrie,H2902-Chaudronnier / Chaudronnière,ETTI,11347,2,11347,6478,6478,"68 Avenue du Général Leclerc","",MAISONS ALFORT,"94046","94700",2.439466,48.806379,"94",Île-de-France
N41- Personnel de conduite du transport routier,N- Transport et Logistique,N4101-Conducteur / Conductrice de poids lourd,ETTI,2731,1,2731,4084,4084,"218 Rue Fléming",CENTRE FLEMING,BETHUNE,"62119","62400",2.647975,50.542874,"62",Hauts-de-France
"I16- Véhicules, engins, aéronefs",I- Installation et Maintenance,I1607-Mécanicien / Mécanicienne motocycles,ACI,10501,1,10501,5697,5697,"366 avenue Georges Durand,",Batiment 5 dans les locaux de l'AFPA,LE MANS,"72181","72100",0.218441,47.968883,"72",Pays de la Loire
H22- Bois,H- Industrie,H2206-Menuisier / Menuisière,ETTI,3555,6,3555,4159,4159,"64 Avenue General Henri Nogues","",TOULON,"83137","83000",5.920978,43.128011,"83",Provence-Alpes-Côte d'Azur
